Index,Time,(Debug_IMU_Data).Euler_Yaw_rad,(Gimbal).Target_Yaw_Speed,(Debug_IMU_Data).Gyro_Z_rad_s
287,0.286861,0,0,0
288,0.288001,0,0,0
289,0.289137,0,0,0
290,0.289757,0,0,0
291,0.290850,0,0,0
292,0.291990,0,0,0
293,0.293127,0,0,0
294,0.293747,0,0,0
295,0.294840,0,0,0
296,0.296247,0,0,0
297,0.297072,0,0,0
298,0.297692,0,0,0
299,0.298786,0,0,0
300,0.299925,0,0,0
301,0.301062,0,0,0
302,0.301682,0,0,0
303,0.302776,0,0,0
304,0.303911,0,0,0
305,0.305054,0,0,0
306,0.305673,0,0,0
307,0.306767,0,0,0
308,0.308197,0,0,0
309,0.309072,0,0,0
310,0.309692,0,0,0
311,0.310786,0,0,0
312,0.311926,0,0,0
313,0.313062,0,0,0
314,0.313682,0,0,0
315,0.314775,0,0,0
316,0.315914,0,0,0
317,0.317054,0,0,0
318,0.317674,0,0,0
319,0.318767,0,0,0
320,0.319935,0,0,0
321,0.320767,0,0,0
322,0.322116,0,0,0
323,0.322736,0,0,0
324,0.323832,0,0,0
325,0.324975,0,0,0
326,0.326111,0,0,0
327,0.326731,0,0,0
328,0.327824,0,0,0
329,0.328964,0,0,0
330,0.330100,0,0,0
331,0.330720,0,0,0
332,0.331813,0,0,0
333,0.333097,0,0,0
334,0.333804,0,0,0
335,0.335044,0,0,0
336,0.335664,0,0,0
337,0.336771,0,0,0
338,0.337894,0,0,0
339,0.338820,0,0,0
340,0.339961,0,0,0
341,0.341085,0,0,0
342,0.341704,0,0,0
343,0.342811,0,0,0
344,0.343951,0,0,0
345,0.345230,0,0,0
346,0.345913,0,0,0
347,0.346733,0,0,0
348,0.347857,0,0,0
349,0.348997,0,0,0
350,0.350134,0,0,0
351,0.350753,0,0,0
352,0.351847,0,0,0
353,0.352986,0,0,0
354,0.354123,0,0,0
355,0.354743,0,0,0
356,0.355839,0,0,0
357,0.357003,0,0,0
358,0.357837,0,0,0
