time_s,target_rad_s,now_rad_s,output_A,speed_rpm
7.500000000000000000e+00,-2.000000000000000000e+00,-1.977000000000000091e+00,-2.999999999999999889e-02,-1.799999999999999864e-02
7.600000000000000533e+00,-2.000000000000000000e+00,-1.923000000000000043e+00,-3.300000000000000155e-02,-1.600000000000000033e-02
7.700000000000000178e+00,-2.000000000000000000e+00,-1.957999999999999963e+00,-3.099999999999999978e-02,-1.600000000000000033e-02
7.800000000000000711e+00,-2.000000000000000000e+00,-2.008999999999999897e+00,-2.999999999999999889e-02,-1.799999999999999864e-02
7.900000000000000355e+00,-2.000000000000000000e+00,-1.943000000000000060e+00,-3.500000000000000333e-02,-1.899999999999999953e-02
8.000000000000000000e+00,2.000000000000000000e+00,-1.967000000000000082e+00,2.469999999999999973e-01,-1.799999999999999864e-02
8.099999999999999645e+00,2.000000000000000000e+00,1.659000000000000030e+00,2.500000000000000139e-02,1.499999999999999944e-02
8.200000000000001066e+00,2.000000000000000000e+00,1.836999999999999966e+00,2.400000000000000050e-02,1.700000000000000122e-02
8.300000000000000711e+00,2.000000000000000000e+00,1.822999999999999954e+00,2.999999999999999889e-02,1.600000000000000033e-02
8.400000000000000355e+00,2.000000000000000000e+00,1.897000000000000020e+00,2.699999999999999969e-02,1.600000000000000033e-02
8.500000000000000000e+00,2.000000000000000000e+00,2.059000000000000163e+00,1.899999999999999953e-02,1.799999999999999864e-02
8.599999999999999645e+00,2.000000000000000000e+00,1.973999999999999977e+00,2.500000000000000139e-02,1.799999999999999864e-02
8.700000000000001066e+00,2.000000000000000000e+00,1.893000000000000016e+00,3.099999999999999978e-02,1.799999999999999864e-02
8.800000000000000711e+00,2.000000000000000000e+00,1.953000000000000069e+00,2.699999999999999969e-02,1.700000000000000122e-02
8.900000000000000355e+00,2.000000000000000000e+00,2.047000000000000153e+00,2.299999999999999961e-02,1.799999999999999864e-02
9.000000000000000000e+00,2.000000000000000000e+00,2.031000000000000139e+00,2.500000000000000139e-02,1.899999999999999953e-02
9.099999999999999645e+00,2.000000000000000000e+00,1.909999999999999920e+00,3.200000000000000067e-02,1.799999999999999864e-02
9.200000000000001066e+00,2.000000000000000000e+00,1.975000000000000089e+00,2.800000000000000058e-02,1.799999999999999864e-02
9.300000000000000711e+00,2.000000000000000000e+00,2.080000000000000071e+00,2.199999999999999872e-02,1.899999999999999953e-02
9.400000000000000355e+00,2.000000000000000000e+00,1.981999999999999984e+00,2.900000000000000147e-02,1.899999999999999953e-02
9.500000000000000000e+00,2.000000000000000000e+00,1.877000000000000002e+00,3.500000000000000333e-02,1.799999999999999864e-02
9.600000000000001421e+00,2.000000000000000000e+00,1.963999999999999968e+00,2.800000000000000058e-02,1.799999999999999864e-02
9.700000000000001066e+00,2.000000000000000000e+00,2.044999999999999929e+00,2.400000000000000050e-02,1.899999999999999953e-02
9.800000000000000711e+00,2.000000000000000000e+00,2.056000000000000050e+00,2.400000000000000050e-02,2.000000000000000042e-02
